Path_Type,Rank,IRR,Total_Fees,Total_Interest,Total_Notional,Total_Cashflow,Num_Cashflows,Avg_Utilization,Min_Utilization,Max_Utilization,Avg_Credit_Spread,Min_Credit_Spread,Max_Credit_Spread
Bottom,1,0.07597480260907016,876603.64,4080756.5137577807,-9.89530235528946e-10,4957360.15375778,34,0.3268037491316015,0.25,0.3863522336583623,0.004131255414612684,0.0,0.019824172161981346
Bottom,2,0.07603673677597123,875565.34,4093216.1353226793,2.9103830456733704e-10,4968781.47532268,34,0.33360047581465097,0.25,0.43775640022204526,0.0018175412594219173,0.0,0.015
Bottom,3,0.0764465775691276,884190.98,3989708.5424237023,-1.862645149230957e-09,4873899.5224237,34,0.32304663459654326,0.25,0.40222915823851085,0.006106242835573737,0.0,0.015
Bottom,4,0.07650439428648928,886201.1,3965587.037289646,9.313225746154785e-10,4851788.137289647,34,0.3188347874997365,0.25,0.4260535779662269,0.009929154471044765,0.0,0.02994548090784222
Bottom,5,0.07660175306650056,886933.96,3956792.8380818693,1.3969838619232178e-09,4843726.79808187,34,0.31575458069448903,0.2417639564201996,0.3720810211188386,0.01185343221947227,0.0,0.0455205118114478
Top,1,0.09409222493006447,1042355.1699999999,2091738.0019754386,2.9831426218152046e-09,3134093.1719754413,34,0.1756873342520515,0.12984877533789854,0.25,0.012073049345966792,0.0,0.03714717369970657
Top,2,0.09430391675859459,1042761.75,2086859.3811011561,-2.3283064365386963e-10,3129621.131101156,34,0.1651109520333091,0.11349254647536697,0.25,0.007341663754455843,0.0,0.021899722419004376
Top,3,0.09472870120849985,1044815.38,2062215.9193029804,-1.5133991837501526e-09,3107031.299302979,34,0.1720348446729715,0.09801603779854062,0.25,0.0037215789504401633,0.0,0.016372527927402555
Top,4,0.09608319662846626,1051765.21,1978817.725182964,-6.330083124339581e-10,3030582.9351829635,34,0.16669683569475374,0.09650064216224842,0.25,0.0038883488118841986,0.0,0.015911651844869014
Top,5,0.09709794398582293,1055547.91,1933425.3424414403,-2.6193447411060333e-09,2988973.252441438,34,0.16919311466335196,0.10451938503877858,0.2506578989582933,0.0032107204027830762,0.0,0.015
